|Description|new_summary|entities
1681|KHAMENEI WARNS US MOVES AGAINST IRAN WILL FAIL  Iran’s Supreme Leader Ayatollah Ali Khamenei said the United States misunderstands Iran and warned that US actions would fail again  as they have in the past. His remarks come as President Donald Trump signaled openness to nuclear talks while also warning of possible strong action.|Ayatollah Ali Khamenei warned that US moves against Iran will fail, reiterating a historical pattern, as President Donald Trump showed potential openness for nuclear negotiations but cautioned about strong actions.|
1682|EUROPEAN GAS PRICE TTF CLIMBS 5.4% TO 29.89 EUROS A MEGAWATT HOUR|European gas prices, represented by the TTF index, have risen by 5.4%, reaching 29.89 euros per megawatt hour.|gas
1683|EU COMMISSIONER KUBILIUS: IT WOULD BE THE END OF NATO IF THE U.S. TOOK GREENLAND BY FORCE|EU Commissioner Kubilius warns that if the U.S. were to forcibly take Greenland, it could signify the end of NATO. This statement highlights significant geopolitical tensions involving NATO and American military strategy.|
1684|EU COMMISSIONER KUBILIUS: EUROPEAN UNION MEMBERS ARE OBLIGED TO COME TO DENMARK'S ASSISTANCE UNDER EU TREATY IF FACED WITH MILITARY AGGRESSION|EU Commissioner Kubilius stated that European Union members must assist Denmark if it faces military aggression, as mandated by an EU treaty. This declaration emphasizes the commitment of EU members to collective defense.|
1685|HASSETT: STILL INTERESTED IN FED JOB|HASSETT expresses ongoing interest in a position at the Federal Reserve.|
1686|HASSETT CALLS POWELL A GOOD PERSON|HASSETT praises Powell, describing him as a good person, indicating positive sentiment towards his character.|
1687|HASSETT: HASN'T TALKED TO POWELL ABOUT HIM STAYING ON BOARD|HASSETT has not communicated with Powell regarding his position on the board.|
1688|TRUMP: 'I’M THE ONE WHO SAVED NATO'|Former President Donald Trump claims credit for saving NATO, highlighting his involvement in the alliance's preservation.|
1689|CUBA PRESIDENT SAYS NOT IN TALKS WITH THE US|The President of Cuba has stated that there are currently no discussions taking place with the United States regarding their relations.|
1690|STRATEGY BUYS 13 627 BITCOIN FOR AGGREGATE PURCHASE PRICE $1.25B  STRATEGY BUYS 13 627 BITCOIN JAN. 5 TO JAN. 11|A strategy has acquired 13,627 Bitcoin for a total of $1.25 billion, indicating a significant investment in the cryptocurrency market between January 5 and January 11.|BTC, Bitcoin
1691|SPOT SILVER BREAKS ABOVE $85/OZ  UP OVER 18% YEAR-TO-DATE|Spot silver has surged above $85 per ounce, marking an impressive increase of over 18% year-to-date.|SILVER
1692|**SELL AMERICA TRADE RETURNS AS POWELL PROBE HITS MARKETS**  U.S. markets sold off after Federal Reserve Chair Jerome Powell said he is under federal criminal investigation  reviving fears of political interference in monetary policy. Powell called the probe—linked to the Fed’s headquarters renovation—a pretext driven by pressure from President Donald Trump  warning it threatens central bank independence.  Markets reacted swiftly: S&P 500 futures fell  the dollar weakened  Treasury yields rose  and gold hit record highs. Analysts described the move as “risk-off ” with some saying the “sell America” trade is back as investors demand a higher risk premium on U.S. assets.  The escalation comes just ahead of a key Fed meeting and before Trump is expected to nominate Powell’s successor  adding to market uncertainty.|U.S. markets experienced a sell-off following Federal Reserve Chair Jerome Powell's announcement of a federal criminal investigation, heightening concerns over political influence on monetary policy. As a result, S&P 500 futures declined, the dollar weakened, and gold prices surged to record highs, indicating a resurgence of the 'sell America' trade.|Federal Reserve,Trump, S&P 500, gold
1693|MEXICO'S PRESIDENT SHEINBAUM SAYS U.S. MILITARY ACTION IN MEXICO WAS RULED OUT AFTER CALL WITH TRUMP|Mexico's President Sheinbaum announced that U.S. military action in Mexico has been ruled out following a call with President Trump.|
1694|$AAPL - APPLE PICKS GOOGLE’S GEMINI TO RUN AI-POWERED SIRI COMING THIS YEAR - CNBC|Apple has chosen Google's Gemini to enhance its AI-powered Siri, with plans for this upgrade to roll out later this year, as reported by CNBC.|AAPL, APPLE,GOOGLE
1695|$GOOGL - ALPHABET HITS $4 TRILLION IN MARKET CAPITALIZATION FOR THE FIRST TIME|Alphabet has achieved a significant milestone by reaching a market capitalization of $4 trillion for the first time.|Alphabet, GOOGL
1696|$MSTR** - STRATEGY BUYS $1.25B IN BITCOIN  LARGEST SINCE JULY**  Michael Saylor’s Strategy Inc. purchased 13 627 Bitcoin worth $1.25 billion between Jan. 5–11  its biggest buy since July. Most acquisitions were funded through stock sales. The move follows a $17.44 billion Q4 unrealized loss as Bitcoin fell 24%  though the company holds roughly $62 billion in crypto.|Strategy Inc., led by Michael Saylor, has purchased $1.25 billion in Bitcoin, marking its largest acquisition since July with 13,627 Bitcoin bought amidst a significant Q4 unrealized loss.|Strategy Inc., $MSTR,$BTC, Bitcoin, Bitcoin
1697|SPOT GOLD  HITS RECORD HIGH AT $4 621.85/OZ|Spot gold has reached a record high of $4,621.85 per ounce, indicating significant demand and interest in the precious metal market.|gold
1698|SPOT SILVER  GAINS OVER 7% TO $85.7/OZ|Silver prices have surged over 7%, now reaching $85.7 per ounce.|silver
1699|SENATOR MURKOWSKI:  AFTER SPEAKING WITH CHAIR POWELL THIS MORNING  IT’S CLEAR ADMINISTRATION’S INVESTIGATION IS NOTHING MORE THAN AN ATTEMPT AT COERCION|Senator Murkowski expressed concerns after discussing with Chair Powell, suggesting that the administration's investigation seems to be a coercive attempt rather than a legitimate inquiry.|
1700|SENATOR MURKOWSKI: IF DOJ BELIEVES AN INVESTIGATION INTO CHAIR POWELL IS WARRANTED BASED ON PROJECT COST OVERRUNS THEN CONGRESS NEEDS TO INVESTIGATE DOJ|Senator Murkowski suggests that if the Department of Justice finds grounds for investigating Chair Powell due to project cost overruns, Congress should then investigate the DOJ.|
1701|SENATOR MURKOWSKI:  SENATOR TILLIS IS RIGHT IN BLOCKING ANY FEDERAL RESERVE NOMINEES UNTIL THIS IS RESOLVED|Senator Murkowski supports Senator Tillis's decision to block any Federal Reserve nominees until existing issues are resolved.|
1702|**FITCH: BITCOIN-BACKED SECURITIES CARRY HIGH RISK**  Fitch Ratings warns that Bitcoin-backed securities carry high market value risk due to price volatility  structural complexity  and counterparty exposures. These instruments rely on Bitcoin as collateral  with liquidation triggers that can amplify losses. Past crypto lender bankruptcies and extreme Bitcoin swings  like the 49% drop in March 2020  highlight the need for conservative coverage and robust risk management.|Fitch Ratings has cautioned that Bitcoin-backed securities pose significant risks due to their dependence on volatile Bitcoin collateral and complex structuring, which can lead to substantial financial losses.|Bitcoin, Bitcoin
1703|COMMODITIES TRADERS VITOL  TRAFIGURA PLAN TO MOVE VENEZUELAN OIL TO STORAGE FACILITIES IN THE CARIBBEAN|Commodities traders Vitol and Trafigura are planning to move Venezuelan oil to storage facilities in the Caribbean.|Vitol,Trafigura, oil
1704|"US SENATE BANKING COMMITTEE REPUBLICAN CRAMER SAYS POWELL IS NO CRIMINAL  CALLS FOR QUICK END TO FED PROBE TO ""RESTORE CONFIDENCE"" IN THE FED"|Republican Senator Cramer has declared that Federal Reserve Chair Powell is not a criminal and is advocating for a swift conclusion to the investigation to restore confidence in the Federal Reserve.|
1705|"investment bank Raymond James says they expect Kevin Hassett to be nominated for Fed chair in the coming days. The director of the National Economic Council is considered a front-runner given his perceived loyalty to President Trump  the investment bank says. ""We have been expecting a push to get the Fed chair nominee confirmed potentially before the May 20 expiration of Powell's term "" the note says."|Raymond James anticipates that Kevin Hassett will be nominated as the next Fed chair soon, bolstered by his loyalty to President Trump, with a push to confirm the nominee expected before May 20.|Raymond James
1706|IRAN IS SAID TO HAVE SENT RUSSIA $2.7B WORTH OF MISSILES|Iran reportedly sent $2.7 billion worth of missiles to Russia, indicating a deepening military collaboration between the two nations.|
1707|U.S. NATURAL GAS FUTURES EXTEND GAINS  PRICES UP BY 5% ON RECORD LNG EXPORT FLOWS  COLDER FORECASTS|U.S. natural gas futures have surged 5% due to record liquefied natural gas (LNG) export flows and colder forecasts, signaling a robust demand in the sector.|Natural Gas
1708|**FED TRANSITION MAY LIMIT RATE CUTS**  Raymond James says DOJ subpoenas tied to Chair Powell are unlikely to have a lasting market impact. However  a leadership transition near the May 20 end of Powell’s term could limit the next Fed chair’s ability to pursue aggressive rate cuts.|Raymond James indicates that the DOJ subpoenas concerning Chair Powell are unlikely to significantly affect the market. However, a leadership transition at the Federal Reserve could restrict the forthcoming chair's capability to implement aggressive rate cuts after Powell's term ends.|Raymond James
1709|VENEZUELA MACHADO TO MEET WITH TRUMP ON THURSDAY -CNN|Machado from Venezuela is set to meet with Trump on Thursday, as reported by CNN.|
1710|**APPLE’S GEMINI DEAL BOOSTS AI STRATEGY**  Wedbush says Apple’s decision to use Google’s Gemini for future Siri features reassures investors eager for AI progress. The partnership validates Google’s AI models and helps Apple accelerate its AI strategy despite a longer-than-expected rollout.|Apple's partnership with Google to integrate Gemini into Siri has reassured investors about its AI strategy, despite delays in rollout. Wedbush highlights this collaboration as a positive move for both companies.|AAPL,GOOGL, Apple,Google
1711|US NEARS TRADE DEAL WITH TAIWAN  CUTTING TARIFFS  SECURING TSMC CHIP FAB INVESTMENTS   TSMC TO BUILD AT LEAST FIVE MORE ARIZONA SEMICONDUCTOR FACILITIES UNDER NEW US DEAL   US-TAIWAN TRADE DEAL TO REDUCE TARIFFS ON ISLAND'S EXPORTS TO 15%: NYT|The US is approaching a trade deal with Taiwan that aims to cut tariffs on the island's exports to 15% and secures investments for TSMC to build five additional semiconductor facilities in Arizona.|TSMC
1712|**US NEARS TRADE DEAL WITH TAIWAN**  The Trump administration is close to finalizing a trade deal with Taiwan that would cut US tariffs on Taiwanese goods to 15% and secure major new US investments from chipmaker TSMC. The agreement would include plans for at least five additional TSMC semiconductor plants in Arizona  expanding US chip production and reducing reliance on Taiwan amid rising tensions with China|The US is nearing a trade deal with Taiwan that will cut tariffs on Taiwanese goods and facilitate significant investments from TSMC, including new semiconductor plants in Arizona.|Taiwan Semiconductor Manufacturing Company (TSMC), TSMC
1713|US REPRESENTATIVE ANNA PAULINA LUNA: IN JULY  I REFERRED JEROME POWELL TO THE DOJ  TODAY HE IS OFFICIALLY UNDER CRIMINAL INVESTIGATION|US Representative Anna Paulina Luna has referred Federal Reserve Chair Jerome Powell to the DOJ, leading to his official criminal investigation.|
1714|🚨 TWO CHINA-FLAGGED SUPERTANKERS THAT WERE NAVIGATING TO VENEZUELA TO PICK UP DEBT-PAYING OIL CARGOES MAKE U-TURN -SHIPPING DATA|Two supertankers flagged from China, initially en route to Venezuela for oil cargoes linked to debt payments, have made a U-turn according to shipping data.|oil
1715|"ECB VILLEROY: ""FANCIFUL"" TO THINK ECB COULD RAISE KEY RATE THIS YEAR  ECB VILLEROY: FALL IN DOLLAR POSSIBLE IF FED'S INDEPENDENCE CHALLENGED"|ECB's Villeroy has described the idea of raising the key rate this year as 'fanciful,' while also suggesting that a fall in the dollar may occur if the independence of the Fed is challenged.|
1716|WHITE HOUSE OFFICIAL : TRUMP WILL MEET VENEZUELA'S MACHADO ON THURSDAY|A White House official announced that Trump is set to meet with Venezuela's Machado on Thursday, indicating potential diplomatic discussions.|
1717|Odds of a Congress stock trading ban this year rise to 59% on Kalshi|The likelihood of a Congress stock trading ban this year has increased to 59%, according to data from Kalshi.|
1718|$META - ZUCKERBERG ANNOUNCED NEW TOP-LEVEL INITIATIVE  META COMPUTE|Mark Zuckerberg announced a new top-level initiative, Meta Compute, aimed at enhancing Meta's technological capabilities.|Meta, META
1719|TRUMP: IF SUPREME COURT RULES AGAINST TARIFFS  WE'RE SCREWED|Trump expressed concern that a Supreme Court ruling against tariffs could negatively impact the U.S. economy.|
